Scan REF,E01-08-dd.gpr;E01-10-dd.gpr,E01-08-dd.gpr;E01-10-dd.gpr,E01-08-dd.gpr;E01-10-dd.gpr,htu_yap04mM_2_1.gpr;htu_yap04mM_add1.gpr,htu_yap04mM_2_1.gpr;htu_yap04mM_add1.gpr,htu_yap04mM_2_1.gpr;htu_yap04mM_add1.gpr,mena_wt.gpr;mena_wt22.gpr,mena_wt.gpr;mena_wt22.gpr,mena_wt.gpr;mena_wt22.gpr,htu_skn04mM_2.gpr;htu_skn04mM_add.gpr,htu_skn04mM_2.gpr;htu_skn04mM_add.gpr,htu_skn04mM_2.gpr;htu_skn04mM_add.gpr,mena_sy.gpr;mena_sy22.gpr,mena_sy.gpr;mena_sy22.gpr,mena_sy.gpr;mena_sy22.gpr,E01-07-WT.gpr;E01-09-WT.gpr,E01-07-WT.gpr;E01-09-WT.gpr,E01-07-WT.gpr;E01-09-WT.gpr
Reporter REF,Unknown:MR_Norm_log2,Unknown:SD_Norm_log2,Unknown:CV_Norm_log2,Unknown:MR_Norm_log2,Unknown:SD_Norm_log2,Unknown:CV_Norm_log2,Unknown:MR_Norm_log2,Unknown:SD_Norm_log2,Unknown:CV_Norm_log2,Unknown:MR_Norm_log2,Unknown:SD_Norm_log2,Unknown:CV_Norm_log2,Unknown:MR_Norm_log2,Unknown:SD_Norm_log2,Unknown:CV_Norm_log2,Unknown:MR_Norm_log2,Unknown:SD_Norm_log2,Unknown:CV_Norm_log2
CAGL0A01672g,0.204914592,0.326265994,0.225171888,-0.051068248,0.108299873,0.097078897,0.828663001,0.75974177,0.879661205,-0.888596203,0.545838783,0.225168461,-0.722814511,0.682190507,1.647525068,0.162522054,0.208187841,0.333576088
CAGL0A01694g,-0.644014619,0.335420275,0.366851926,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CAGL0A01716g,1.109101476,0.337471639,0.160355959,-0.923731964,0.082290365,0.02211626,null,null,null,-0.184179365,0.11939015,0.083552963,0.547850633,0.058441129,0.540179739,1.386419446,null,null
CAGL0A01738g,0.144423098,0.253842539,0.131079961,-0.420423934,0.11236926,0.099629426,0.027820792,0.323208424,0.750726919,-0.323750882,0.009550336,0.177000187,-0.133842207,0.052707328,0.962979021,-0.014050537,1.377142312,0.495349921
CAGL0A01760g,0.700856495,0.11611073,0.225347451,-0.241605295,0.132559753,0.112290082,null,null,null,0.266140317,null,null,null,null,null,null,null,null
CAGL0A01782g,-1.290178002,0.460449475,0.490967509,0.074926654,0.72205773,0.030474197,0.607453471,1.227606968,0.282543739,-0.038211357,0.254772892,0.066237148,-2.268724888,0.425482145,0.128377257,-0.719312601,0.515029293,0.239112653
CAGL0A01804g,-2.042202922,0.110661425,0.221270109,0.090405816,0.124254755,0.107081087,-0.972211679,0.550868734,0.5295733,-0.107346461,0.499994313,0.249172934,-2.057073403,0.307176242,0.239436313,-1.634198247,0.320589961,0.402217188
CAGL0A01826g,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CAGL0A01848g,-0.042349025,0.179142659,0.228991327,-0.100105373,0.07264145,0.016085938,-0.026102857,0.127086105,0.624026098,-0.063076203,0.250376963,0.198726424,-0.509306951,0.266111988,0.715275479,0.300540602,0.467417852,0.282167638
CAGL0A01870g,0.348067106,0.355608849,0.366794139,0.222180587,null,null,0.303738376,null,null,null,null,null,null,null,null,null,null,null
